title,rating,numberOfRatings
Harry Potter and the Chamber of Secrets (2002),3.5980392156862746,102
"Firm, The (1993)",3.5346534653465347,101
Outbreak (1995),3.4257425742574257,101
Cliffhanger (1993),3.0346534653465347,101
Casablanca (1942),4.24,100
V for Vendetta (2006),3.885,100
Cast Away (2000),3.7,100
Austin Powers: International Man of Mystery (1997),3.535,100
Being John Malkovich (1999),3.9545454545454546,99
Happy Gilmore (1996),3.4393939393939394,99
While You Were Sleeping (1995),3.4693877551020407,98
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),4.268041237113402,97
L.A. Confidential (1997),4.061855670103093,97
Toy Story 2 (1999),3.8608247422680413,97
Avatar (2009),3.6030927835051547,97
Who Framed Roger Rabbit? (1988),3.5721649484536084,97
Requiem for a Dream (2000),3.921875,96
Rain Man (1988),3.8072916666666665,96
As Good as It Gets (1997),3.6979166666666665,96
"Matrix Reloaded, The (2003)",3.3541666666666665,96
Office Space (1999),4.090425531914893,94
Iron Man (2008),3.824468085106383,94
"O Brother, Where Art Thou? (2000)",3.8085106382978724,94
Snatch (2000),4.155913978494624,93
Harry Potter and the Prisoner of Azkaban (2004),3.913978494623656,93
"Nightmare Before Christmas, The (1993)",3.553763440860215,93
"Wizard of Oz, The (1939)",3.880434782608696,92
Shakespeare in Love (1998),3.777173913043478,92
Shrek 2 (2004),3.5760869565217392,92
"Bug's Life, A (1998)",3.516304347826087,92
Natural Born Killers (1994),3.233695652173913,92
Star Wars: Episode II - Attack of the Clones (2002),3.157608695652174,92
Armageddon (1998),3.0543478260869565,92
Jaws (1975),4.0054945054945055,91
Stand by Me (1986),4.0054945054945055,91
Star Trek: First Contact (1996),3.879120879120879,91
Big (1988),3.71978021978022,91
Beetlejuice (1988),3.4725274725274726,91
Meet the Parents (2000),3.4175824175824174,91
"Prestige, The (2006)",4.0055555555555555,90
"Hunt for Red October, The (1990)",3.8722222222222222,90
Monty Python's Life of Brian (1979),3.9269662921348316,89
Get Shorty (1995),3.49438202247191,89
Life Is Beautiful (La Vita è bella) (1997),4.1477272727272725,88
Inglourious Basterds (2009),4.136363636363637,88
Total Recall (1990),3.653409090909091,88
Back to the Future Part III (1990),3.3693181818181817,88
Ace Ventura: When Nature Calls (1995),2.727272727272727,88
Spirited Away (Sen to Chihiro no kamikakushi) (2001),4.155172413793103,87
Airplane! (1980),3.8563218390804597,87
Back to the Future Part II (1989),3.5057471264367814,87
"Mummy, The (1999)",3.1206896551724137,87
Dead Poets Society (1989),3.9593023255813953,86
Gattaca (1997),3.953488372093023,86
"Birdcage, The (1996)",3.494186046511628,86
Mars Attacks! (1996),3.0930232558139537,86
When Harry Met Sally... (1989),3.8588235294117648,85
Ice Age (2002),3.6882352941176473,85
Jerry Maguire (1996),3.5941176470588236,85
Rear Window (1954),4.261904761904762,84
Sin City (2005),3.857142857142857,84
"Blues Brothers, The (1980)",3.8095238095238093,84
Addams Family Values (1993),3.1011904761904763,84
Broken Arrow (1996),3.0238095238095237,84
Psycho (1960),4.036144578313253,83
Almost Famous (2000),3.8674698795180724,83
Top Gun (1986),3.3012048192771086,83
Casino (1995),3.926829268292683,82
Contact (1997),3.652439024390244,82
"Nutty Professor, The (1996)",2.731707317073171,82
Casino Royale (2006),3.9444444444444446,81
"Pan's Labyrinth (Laberinto del fauno, El) (2006)",3.814814814814815,81
"Bourne Ultimatum, The (2007)",3.697530864197531,81
Quiz Show (1994),3.5185185185185186,81
"Santa Clause, The (1994)",3.2037037037037037,81
Demolition Man (1993),3.0925925925925926,81
Mr. Holland's Opus (1995),3.70625,80
Edward Scissorhands (1990),3.7,80
300 (2007),3.68125,80
Starship Troopers (1997),3.33125,80
"Graduate, The (1967)",4.063291139240507,79
Spider-Man 2 (2004),3.8037974683544302,79
Dogma (1999),3.6455696202531644,79
"Matrix Revolutions, The (2003)",3.151898734177215,79
Chicken Run (2000),3.551282051282051,78
Star Wars: Episode III - Revenge of the Sith (2005),3.4294871794871793,78
Shaun of the Dead (2004),4.0064935064935066,77
Little Miss Sunshine (2006),3.883116883116883,77
What's Eating Gilbert Grape (1993),3.7662337662337664,77
"Game, The (1997)",3.7012987012987013,77
Snow White and the Seven Dwarfs (1937),3.616883116883117,77
Face/Off (1997),3.3701298701298703,77
Mission: Impossible II (2000),2.7142857142857144,77
Amadeus (1984),4.184210526315789,76
"Dark Knight Rises, The (2012)",3.9934210526315788,76
"South Park: Bigger, Longer and Uncut (1999)",3.861842105263158,76
X2: X-Men United (2003),3.723684210526316,76
"Hangover, The (2009)",3.6315789473684212,76
Leaving Las Vegas (1995),3.625,76
Dave (1993),3.5460526315789473,76
City of God (Cidade de Deus) (2002),4.1466666666666665,75
Run Lola Run (Lola rennt) (1998),4.0,75
"Bourne Supremacy, The (2004)",3.7866666666666666,75
Lethal Weapon (1987),3.6733333333333333,75
High Fidelity (2000),3.6666666666666665,75
Galaxy Quest (1999),3.58,75
Lost in Translation (2003),4.033783783783784,74
"40-Year-Old Virgin, The (2005)",3.5472972972972974,74
Maverick (1994),3.5,74
Liar Liar (1997),3.0337837837837838,74
Interstellar (2014),3.993150684931507,73
Unbreakable (2000),3.4794520547945207,73
"Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)",4.145833333333333,72
Ratatouille (2007),3.8680555555555554,72
Pirates of the Caribbean: Dead Man's Chest (2006),3.5069444444444446,72
Charlie's Angels (2000),2.7222222222222223,72
Django Unchained (2012),3.943661971830986,71
"Fish Called Wanda, A (1988)",3.9225352112676055,71
Mary Poppins (1964),3.887323943661972,71
Harry Potter and the Goblet of Fire (2005),3.816901408450704,71
Slumdog Millionaire (2008),3.8098591549295775,71
Bruce Almighty (2003),3.316901408450704,71
Traffic (2000),3.9,70
In the Line of Fire (1993),3.692857142857143,70
Ed Wood (1994),3.6785714285714284,70
"American President, The (1995)",3.6714285714285713,70
Erin Brockovich (2000),3.5285714285714285,70
RoboCop (1987),3.3714285714285714,70
Scream (1996),3.2,70
Citizen Kane (1941),4.043478260869565,69
Young Frankenstein (1974),3.9927536231884058,69
"Avengers, The (2012)",3.869565217391304,69
Big Fish (2003),3.8333333333333335,69
Robin Hood: Men in Tights (1993),3.130434782608696,69
"Royal Tenenbaums, The (2001)",3.6838235294117645,68
"Patriot, The (2000)",3.448529411764706,68
Die Hard 2 (1990),3.4044117647058822,68
Legends of the Fall (1994),3.3970588235294117,68
Pocahontas (1995),3.1470588235294117,68
Grease (1978),3.139705882352941,68
"Honey, I Shrunk the Kids (1989)",2.7573529411764706,68
"Lock, Stock & Two Smoking Barrels (1998)",4.052238805970149,67
Shutter Island (2010),4.022388059701493,67
Scarface (1983),3.9328358208955225,67
Dead Man Walking (1995),3.8358208955223883,67
Sense and Sensibility (1995),3.7761194029850746,67
Enemy of the State (1998),3.4925373134328357,67
"Little Mermaid, The (1989)",3.425373134328358,67
"Lost World: Jurassic Park, The (1997)",2.753731343283582,67
This Is Spinal Tap (1984),4.015151515151516,66
Philadelphia (1993),3.6136363636363638,66
Desperado (1995),3.5606060606060606,66
School of Rock (2003),3.4015151515151514,66
"Untouchables, The (1987)",3.9384615384615387,65
Tombstone (1993),3.8153846153846156,65
True Romance (1993),3.8,65
District 9 (2009),3.776923076923077,65
Juno (2007),3.769230769230769,65
Bridget Jones's Diary (2001),3.623076923076923,65
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan (2006),3.3461538461538463,65
Dragonheart (1996),3.0923076923076924,65
Austin Powers in Goldmember (2002),2.8461538461538463,65
"Sting, The (1973)",3.9765625,64
Children of Men (2006),3.9453125,64
"Sound of Music, The (1965)",3.9375,64
No Country for Old Men (2007),3.8984375,64
Rocky (1976),3.828125,64
"Crow, The (1994)",3.609375,64
Legally Blonde (2001),3.15625,64
Eraser (1996),3.109375,64
Miss Congeniality (2000),3.0546875,64
"Blair Witch Project, The (1999)",2.796875,64
Platoon (1986),3.984126984126984,63
"Rocky Horror Picture Show, The (1975)",3.3412698412698414,63
Signs (2002),3.1666666666666665,63
Coneheads (1993),2.4206349206349205,63
Butch Cassidy and the Sundance Kid (1969),3.943548387096774,62
Blazing Saddles (1974),3.935483870967742,62
"Last Samurai, The (2003)",3.903225806451613,62
Star Trek II: The Wrath of Khan (1982),3.7661290322580645,62
Animal House (1978),3.693548387096774,62
I Am Legend (2007),3.4838709677419355,62
"Abyss, The (1989)",3.475806451612903,62
Sleepy Hollow (1999),3.475806451612903,62
"Chronicles of Narnia: The Lion, the Witch and the Wardrobe, The (2005)",3.443548387096774,62
Casper (1995),2.806451612903226,62
Judge Dredd (1995),2.6693548387096775,62
Hot Fuzz (2007),4.0,61
Superman (1978),3.6065573770491803,61
Predator (1987),3.581967213114754,61
"Piano, The (1993)",3.540983606557377,61
"I, Robot (2004)",3.4918032786885247,61
Pleasantville (1998),3.4836065573770494,61
Wayne's World (1992),3.4754098360655736,61
"Three Musketeers, The (1993)",3.262295081967213,61
Gone in 60 Seconds (2000),3.221311475409836,61
Charlie and the Chocolate Factory (2005),3.0,61
Men in Black II (a.k.a. MIIB) (a.k.a. MIB 2) (2002),2.959016393442623,61
Vertigo (1958),4.025,60
Close Encounters of the Third Kind (1977),3.7416666666666667,60
Pinocchio (1940),3.45,60
My Big Fat Greek Wedding (2002),3.2666666666666666,60
"Mask of Zorro, The (1998)",3.1,60
Batman Returns (1992),3.025,60
Hot Shots! Part Deux (1993),2.8666666666666667,60
Chinatown (1974),4.211864406779661,59
Brazil (1985),4.177966101694915,59
Guardians of the Galaxy (2014),4.0508474576271185,59
Star Trek (2009),3.864406779661017,59
American Psycho (2000),3.788135593220339,59
Love Actually (2003),3.788135593220339,59
"Italian Job, The (2003)",3.6186440677966103,59
Grosse Pointe Blank (1997),3.610169491525424,59
Spaceballs (1987),3.483050847457627,59
Mr. & Mrs. Smith (2005),3.2796610169491527,59
My Cousin Vinny (1992),3.26271186440678,59
Con Air (1997),3.0338983050847457,59
Beverly Hills Cop III (1994),2.7203389830508473,59
To Kill a Mockingbird (1962),4.120689655172414,58
"King's Speech, The (2010)",4.043103448275862,58
It's a Wonderful Life (1946),4.0344827586206895,58
Raising Arizona (1987),3.9913793103448274,58
28 Days Later (2002),3.9741379310344827,58
Harry Potter and the Half-Blood Prince (2009),3.8879310344827585,58
Annie Hall (1977),3.8706896551724137,58
Harry Potter and the Order of the Phoenix (2007),3.8620689655172415,58
Sherlock Holmes (2009),3.853448275862069,58
Bowling for Columbine (2002),3.7758620689655173,58
Wedding Crashers (2005),3.5086206896551726,58
"Truth About Cats & Dogs, The (1996)",3.3879310344827585,58
Blade (1998),3.3620689655172415,58
Air Force One (1997),3.3448275862068964,58
Naked Gun 33 1/3: The Final Insult (1994),3.060344827586207,58
Cool Hand Luke (1967),4.271929824561403,57
North by Northwest (1959),4.184210526315789,57
12 Angry Men (1957),4.149122807017544,57
"Social Network, The (2010)",3.8859649122807016,57
"Few Good Men, A (1992)",3.789473684210526,57
Anchorman: The Legend of Ron Burgundy (2004),3.7719298245614037,57
"Goonies, The (1985)",3.5701754385964914,57
"Client, The (1994)",3.3859649122807016,57
Crocodile Dundee (1986),3.175438596491228,57
Congo (1995),2.8771929824561404,57
Wallace & Gromit: The Wrong Trousers (1993),4.035714285714286,56
Planet of the Apes (1968),3.8035714285714284,56
"Full Monty, The (1997)",3.7589285714285716,56
Election (1999),3.6607142857142856,56
Rushmore (1998),3.544642857142857,56
Field of Dreams (1989),3.517857142857143,56
Notting Hill (1999),3.455357142857143,56
Pirates of the Caribbean: At World's End (2007),3.4375,56
"Wedding Singer, The (1998)",3.419642857142857,56
A.I. Artificial Intelligence (2001),3.3392857142857144,56
Toy Story 3 (2010),4.109090909090909,55
"Christmas Story, A (1983)",3.9727272727272727,55
Superbad (2007),3.8636363636363638,55
"Others, The (2001)",3.6272727272727274,55
Moulin Rouge (2001),3.590909090909091,55
Gangs of New York (2002),3.518181818181818,55
From Dusk Till Dawn (1996),3.5090909090909093,55
Lady and the Tramp (1955),3.4,55
City Slickers II: The Legend of Curly's Gold (1994),2.6454545454545455,55
"Wolf of Wall Street, The (2013)",3.9166666666666665,54
Deadpool (2016),3.8333333333333335,54
10 Things I Hate About You (1999),3.5277777777777777,54
Zoolander (2001),3.509259259259259,54
Romancing the Stone (1984),3.4537037037037037,54
Kung Fu Panda (2008),3.4444444444444446,54
The Hunger Games (2012),3.435185185185185,54
Sabrina (1995),3.185185185185185,54
What Women Want (2000),3.138888888888889,54
First Knight (1995),3.0833333333333335,54
"Cable Guy, The (1996)",2.8055555555555554,54
How to Train Your Dragon (2010),3.943396226415094,53
Zombieland (2009),3.8773584905660377,53
Goldfinger (1964),3.839622641509434,53
"Jungle Book, The (1967)",3.830188679245283,53
"Exorcist, The (1973)",3.80188679245283,53
Fantasia (1940),3.7830188679245285,53
Blood Diamond (2006),3.7641509433962264,53
Best in Show (2000),3.688679245283019,53
Eyes Wide Shut (1999),3.4622641509433962,53
Hook (1991),3.358490566037736,53
Last Action Hero (1993),2.9339622641509435,53
Arachnophobia (1990),2.811320754716981,53
Space Jam (1996),2.707547169811321,53
Johnny Mnemonic (1995),2.6792452830188678,53
Wild Wild West (1999),2.207547169811321,53
Million Dollar Baby (2004),3.8461538461538463,52
Caddyshack (1980),3.826923076923077,52
"Grand Budapest Hotel, The (2014)",3.7788461538461537,52
Donnie Brasco (1997),3.7403846153846154,52
Magnolia (1999),3.7115384615384617,52
Mystic River (2003),3.7115384615384617,52
Knocked Up (2007),3.6538461538461537,52
Chasing Amy (1997),3.576923076923077,52
Disclosure (1994),3.5384615384615383,52
X-Men: The Last Stand (2006),3.355769230769231,52
Grumpier Old Men (1995),3.2596153846153846,52
War of the Worlds (2005),3.144230769230769,52
Army of Darkness (1993),4.03921568627451,51
Mulholland Drive (2001),3.843137254901961,51
Blow (2001),3.8137254901960786,51
Training Day (2001),3.7941176470588234,51
The Devil's Advocate (1997),3.411764705882353,51
Bad Boys (1995),3.2450980392156863,51
Splash (1984),3.1176470588235294,51
The Imitation Game (2014),4.02,50
Some Like It Hot (1959),4.01,50
Serenity (2005),3.94,50
Harry Potter and the Deathly Hallows: Part 2 (2011),3.91,50
Crash (2004),3.89,50
Black Hawk Down (2001),3.81,50
Skyfall (2012),3.81,50
Tommy Boy (1995),3.78,50
Super Size Me (2004),3.51,50
Tron (1982),3.34,50
You've Got Mail (1998),3.12,50
"Day After Tomorrow, The (2004)",3.05,50
Scary Movie (2000),2.92,50
Chicago (2002),3.7244897959183674,49
Sixteen Candles (1984),3.6020408163265305,49
Road to Perdition (2002),3.520408163265306,49
James and the Giant Peach (1996),3.4489795918367347,49
"Talented Mr. Ripley, The (1999)",3.336734693877551,49
Billy Madison (1995),3.326530612244898,49
"Da Vinci Code, The (2006)",3.122448979591837,49
Father of the Bride Part II (1995),3.0714285714285716,49
Superman II (1980),3.020408163265306,49
Planet of the Apes (2001),2.7448979591836733,49
Seven Samurai (Shichinin no samurai) (1954),4.1875,48
The Martian (2015),4.0,48
Princess Mononoke (Mononoke-hime) (1997),3.9583333333333335,48
Wallace & Gromit: A Close Shave (1995),3.8958333333333335,48
Dark City (1998),3.8229166666666665,48
Hotel Rwanda (2004),3.7916666666666665,48
Highlander (1986),3.7291666666666665,48
Garden State (2004),3.7083333333333335,48
Jackie Brown (1997),3.6979166666666665,48
"Thomas Crown Affair, The (1999)",3.6458333333333335,48
Troy (2004),3.4270833333333335,48
Big Daddy (1999),3.1979166666666665,48
Nine Months (1995),2.8229166666666665,48
Singin' in the Rain (1952),4.074468085106383,47
Harry Potter and the Deathly Hallows: Part 1 (2010),3.9893617021276597,47
Pi (1998),3.851063829787234,47
Sling Blade (1996),3.8404255319148937,47
Mad Max: Fury Road (2015),3.8191489361702127,47
50 First Dates (2004),3.5531914893617023,47
Chocolat (2000),3.521276595744681,47
Iron Man 2 (2010),3.5106382978723403,47
Poltergeist (1982),3.425531914893617,47
"Hunchback of Notre Dame, The (1996)",3.3297872340425534,47
"Terminal, The (2004)",3.3191489361702127,47
"Ring, The (2002)",3.202127659574468,47
Basic Instinct (1992),3.1914893617021276,47
Lethal Weapon 2 (1989),3.1808510638297873,47
Alien³ (a.k.a. Alien 3) (1992),3.148936170212766,47
Analyze This (1999),3.095744680851064,47
101 Dalmatians (1996),3.074468085106383,47
Ghostbusters II (1989),3.0,47
"Pianist, The (2002)",4.108695652173913,46
Fear and Loathing in Las Vegas (1998),3.967391304347826,46
Adaptation (2002),3.9456521739130435,46
Blue Velvet (1986),3.9456521739130435,46
Gran Torino (2008),3.9456521739130435,46
M*A*S*H (a.k.a. MASH) (1970),3.9347826086956523,46
"Pursuit of Happyness, The (2006)",3.7934782608695654,46
The Butterfly Effect (2004),3.630434782608696,46
"Simpsons Movie, The (2007)",3.619565217391304,46
Rumble in the Bronx (Hont faan kui) (1995),3.5434782608695654,46
Sneakers (1992),3.4782608695652173,46
Beverly Hills Cop (1984),3.402173913043478,46
Phenomenon (1996),3.3369565217391304,46
"Me, Myself & Irene (2000)",3.0869565217391304,46
Lethal Weapon 3 (1992),2.9347826086956523,46
Mortal Kombat (1995),2.5434782608695654,46
Lawrence of Arabia (1962),4.3,45
"Bridge on the River Kwai, The (1957)",4.122222222222222,45
Unforgiven (1992),4.111111111111111,45
"Thing, The (1982)",3.933333333333333,45
"English Patient, The (1996)",3.7111111111111112,45
Three Kings (1999),3.7111111111111112,45
Bill & Ted's Excellent Adventure (1989),3.7,45
Gone with the Wind (1939),3.6444444444444444,45
Mulan (1998),3.566666666666667,45
French Kiss (1995),3.477777777777778,45
"League of Their Own, A (1992)",3.466666666666667,45
Payback (1999),3.422222222222222,45
"Aristocats, The (1970)",3.411111111111111,45
"Godfather: Part III, The (1990)",3.3555555555555556,45
Antz (1998),3.2444444444444445,45
Hitch (2005),3.1666666666666665,45
"Mummy Returns, The (2001)",3.088888888888889,45
American Pie 2 (2001),3.066666666666667,45
"Fast and the Furious, The (2001)",3.066666666666667,45
Tomorrow Never Dies (1997),3.066666666666667,45
"Cell, The (2000)",3.0444444444444443,45
Star Trek: The Motion Picture (1979),3.0444444444444443,45
Terminator 3: Rise of the Machines (2003),3.0444444444444443,45
Alien: Resurrection (1997),2.922222222222222,45
Species (1995),2.6666666666666665,45
"Maltese Falcon, The (1941)",4.170454545454546,44
Edge of Tomorrow (2014),3.977272727272727,44
Equilibrium (2002),3.875,44
Misery (1990),3.840909090909091,44
Collateral (2004),3.7613636363636362,44
About a Boy (2002),3.715909090909091,44
Scott Pilgrim vs. the World (2010),3.7045454545454546,44
Stranger than Fiction (2006),3.6931818181818183,44
"Birds, The (1963)",3.602272727272727,44
Rob Roy (1995),3.5454545454545454,44
Corpse Bride (2005),3.534090909090909,44
101 Dalmatians (One Hundred and One Dalmatians) (1961),3.4318181818181817,44
"Hitchhiker's Guide to the Galaxy, The (2005)",3.4204545454545454,44
Vanilla Sky (2001),3.4204545454545454,44
"Perfect Storm, The (2000)",3.1704545454545454,44
Spider-Man 3 (2007),3.0,44
Escape from L.A. (1996),2.9204545454545454,44
"Boondock Saints, The (2000)",4.22093023255814,43
"Great Escape, The (1963)",4.127906976744186,43
Watchmen (2009),3.988372093023256,43
American Graffiti (1973),3.8488372093023258,43
"Deer Hunter, The (1978)",3.8255813953488373,43
Inside Out (2015),3.813953488372093,43
Much Ado About Nothing (1993),3.813953488372093,43
"Good Morning, Vietnam (1987)",3.802325581395349,43
X-Men: First Class (2011),3.7906976744186047,43
"Illusionist, The (2006)",3.7790697674418605,43
Kick-Ass (2010),3.6511627906976742,43
"NeverEnding Story, The (1984)",3.5813953488372094,43
Ronin (1998),3.5232558139534884,43
Star Trek IV: The Voyage Home (1986),3.4767441860465116,43
I.Q. (1994),3.453488372093023,43
"Fly, The (1986)",3.383720930232558,43
Ocean's Twelve (2004),3.2906976744186047,43
Cocoon (1985),3.2674418604651163,43
Tin Cup (1996),3.1744186046511627,43
Shanghai Noon (2000),3.1511627906976742,43
Deep Impact (1998),3.0697674418604652,43
Entrapment (1999),2.988372093023256,43
Pearl Harbor (2001),2.9651162790697674,43
Conspiracy Theory (1997),2.941860465116279,43
Dazed and Confused (1993),3.9285714285714284,42
Little Women (1994),3.880952380952381,42
Labyrinth (1986),3.8214285714285716,42
Carlito's Way (1993),3.738095238095238,42
(500) Days of Summer (2009),3.6666666666666665,42
Black Swan (2010),3.630952380952381,42
Taken (2008),3.619047619047619,42
"Whole Nine Yards, The (2000)",3.5238095238095237,42
Cinderella (1950),3.488095238095238,42
"Girl with the Dragon Tattoo, The (2011)",3.488095238095238,42
Fast Times at Ridgemont High (1982),3.4761904761904763,42
"Crying Game, The (1992)",3.4404761904761907,42
Risky Business (1983),3.4404761904761907,42
"X-Files: Fight the Future, The (1998)",3.4404761904761907,42
"Naked Gun: From the Files of Police Squad!, The (1988)",3.4047619047619047,42
Dirty Dancing (1987),3.369047619047619,42
Kingpin (1996),3.369047619047619,42
Star Trek VI: The Undiscovered Country (1991),3.3452380952380953,42
That Thing You Do! (1996),3.2738095238095237,42
Rush Hour (1998),3.261904761904762,42
Star Trek III: The Search for Spock (1984),3.261904761904762,42
Runaway Bride (1999),2.8333333333333335,42
"Flintstones, The (1994)",2.357142857142857,42
Batman & Robin (1997),2.2142857142857144,42
Glory (1989),4.170731707317073,41
In Bruges (2008),4.158536585365853,41
Into the Wild (2007),3.902439024390244,41
Big Hero 6 (2014),3.8536585365853657,41
